,sentence_id,word_sequence,passage_id,bin_id_audio,onset,offset,word,prominence_value,boundary_value,prominence_label,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_gpt2,surprisal_bert,sentence_seq,bin_id_video,word_prev,lemma_prev,syllable_num_prev,pos_prev,pos_detail_prev,word_len_prev,surprisal_prev,mean_f0_prev,meaningful_gesture_prev,beat_gesture_prev,gesture_corres_prev,mouth_dist_prev
4178,79S,28,79,4179,7.107,7.678,crockery,0.455,0,0,13.171554819517,1.4911203328112,1.98422417234759,1.98422417234759,1.98422417234759,6.750124,0.0171126946806907,2,1028,crockery,crockery,3,1,NN,8,7.42244405,489.7512282,0,0,0,0.616
4179,80S,0,80,4180,0,0.16,Im,0.641,0.158,1,6.29409220540398,6.29394453003519,6.29394453003519,6.29394453003519,6.29394453003519,3.9997134,0.00747975800186395,,,,,,,,,,,,,,
4180,80S,1,80,4181,0.16,0.62,still,0.921,0.099,1,2.80842620757807,3.26668867894808,3.26503323257416,3.26503323257416,3.26503323257416,2.3709981,0.0000156162950588623,1,1029,still,still,1,1,RB,5,6.759859297,352.5286247,0,0,1,0.391
4181,80S,2,80,4182,0.62,1.08,half,0.305,0.54,0,4.57000588088607,4.56431681082374,5.28811057485866,5.26253418914663,5.26253418914662,4.3868585,0.00020990552729927,1,1030,half,half,1,1,JJ,4,8.466206048,260.2704415,0,0,1,0.685
4182,80S,3,80,4183,1.08,1.55,asleep,1.598,0.263,2,8.9069339155807,8.99228588690852,9.11059197361812,9.03208302634963,9.03208302634963,8.745078,0.152692809700965,1,1031,asleep,asleep,2,1,RB,6,9.409815261,308.2641264,0,0,1,0.7
4183,80S,5,80,4184,2.3,2.44,I,0,0,0,1.72216379982832,2.67666711436337,2.66415094063463,2.66415094063463,2.66415094063462,6.698477,0.934690535068512,,,,,,,,,,,,,,
4184,80S,6,80,4185,2.44,2.69,wash,1.34,0.133,1,5.73697068176303,3.98141770064302,3.78580410735118,3.78580410735118,3.78580410735117,2.360922,0.687242627143859,2,1032,wash,wash,1,1,VBP,4,9.735244446,335.0946265,0,0,0,0.181
4185,80S,7,80,4186,2.69,2.82,my,0,0,0,14.9674838385033,16.1358144992968,16.0810900700685,16.0176017390284,16.0176017390284,9.704529,0.010056659579277,,,,,,,,,,,,,,
4186,80S,8,80,4187,2.82,3.291,hair,0.381,0.056,0,4.54092124445192,4.20684662150604,4.20684662150604,4.20684662150604,4.20684662150603,0.5360883,1.18053972721099,2,1033,hair,hair,1,1,NN,4,7.634920991,205.919869,0,0,1,0.751
4187,80S,9,80,4188,3.291,3.43,and,0.1,0,0,5.89912427546366,3.04046675782404,3.27425827680145,3.27425827680145,3.27425827680144,3.3565602,0.0118586802855134,,,,,,,,,,,,,,
4188,80S,10,80,4189,3.43,3.69,leave,-0.01,0.066,0,2.18150899516151,1.93423482480944,2.12149089804326,2.05800256700322,2.05800256700321,1.7203131,0.245037749409675,2,1034,leave,leave,1,1,VB,5,6.999963159,205.3874002,0,0,1,0.054
4189,80S,11,80,4190,3.69,3.77,it,0,0.183,0,8.83283272123419,7.41276990558209,7.62050687808087,7.55701799806176,7.55701799806176,5.404646,0.096096783876419,,,,,,,,,,,,,,
4190,80S,12,80,4191,3.77,3.942,to,0.115,0,0,4.35388572355792,3.41862604671753,3.75006392320878,3.68657559216874,3.68657559216873,1.0743624,1.17705047130584,,,,,,,,,,,,,,
4191,80S,13,80,4192,3.942,4.34,dry,0.55,0.459,1,3.40446101436366,2.35319382616356,2.05926014079896,1.93913199256887,1.93913199256887,2.234418,0.0112251657992601,2,1035,dry,dry,1,1,JJ,3,7.298924031,212.0073042,0,0,0,0.483
4192,80S,14,80,4193,4.34,5.036,naturally,0.78,0.22,1,9.27080163244557,8.64680951773814,8.23431927396502,8.29674697744929,8.23609247634862,0.43515983,0.00736000994220376,2,1036,naturally,naturally,3,1,RB,9,9.625296668,359.7417639,0,0,1,0.876
4193,81S,1,81,4194,0.164,0.226,You,0,0,0,8.52099778923639,8.52076117925888,8.52076117925888,8.52076117925888,8.52076117925888,5.3248973,1.21574342250823,,,,,,,,,,,,,,
4194,81S,2,81,4195,0.226,0.375,dont,1.029,0.162,1,4.48117502921617,5.12870297444682,5.10005724677605,5.10005724677605,5.10005724677604,3.4597902,0.0590633042156696,,,,,,,,,,,,,,
4195,81S,3,81,4196,0.375,0.512,give,0.009,0,0,0.112986153602455,0.0994669522308969,0.400386181767085,0.383887199224743,0.383887199224743,0.00067151885,0.00133949168957769,1,1037,give,give,1,1,VB,4,6.496599856,486.665121,0,0,1,0.979
4196,81S,4,81,4197,0.512,0.583,a,0,0.155,0,5.27426422485267,4.88318636057496,5.6949013179672,5.34104588131044,5.28039138020977,6.9557986,0.0000300402898574247,,,,,,,,,,,,,,
4197,81S,5,81,4198,0.583,1.103,toss,1.133,1.046,1,2.60192608491529,1.23817946329375,0.298351697332878,0.836235313248171,0.921543023138782,0.81919324,0.34106296300888,1,1038,toss,toss,1,1,VB,4,10.68036375,381.3902692,0,0,1,0.825
4198,81S,6,81,4199,1.103,1.472,about,1.418,0.37,1,11.7041996532338,6.97689205563361,5.57870715372501,5.29788844100553,4.87037099325517,5.5712557,0.0315045043826103,,,,,,,,,,,,,,
4199,81S,7,81,4200,1.472,2.11,culture,0.876,2.048,1,9.20879609386315,8.72496766738336,8.79285002686873,8.84175033718444,8.86372871409704,1.0399806,6.34911060333251,1,1039,culture,culture,2,1,NN,7,9.174536239,382.8614268,0,0,0,0.874
4200,81S,9,81,4201,2.561,2.66,All,0,0,0,1.62665434332939,2.50865426708991,2.48155611140657,2.48155611140657,2.48155611140656,7.589114,8.83161258697509,,,,,,,,,,,,,,
4201,81S,10,81,4202,2.66,2.79,you,1.653,0,2,6.25189822336013,7.26060004517814,6.90506802645342,6.90506802645342,6.90506802645342,5.5999956,0.0150498412549495,,,,,,,,,,,,,,
4202,81S,11,81,4203,2.79,2.981,want,0.281,0,0,7.00049870445636,6.44657608183376,6.40012366917393,6.40012366917393,6.40012366917392,0.76390797,0.0870637446641922,2,1040,want,want,1,1,VBP,4,6.532767224,387.6376834,0,0,0,0.655
4203,81S,12,81,4204,2.981,3.06,to,0,0.264,0,3.83746358645327,5.39302541520809,5.81385135712136,5.69991624173631,5.69991624173631,2.329338,0.137648850679397,,,,,,,,,,,,,,
4204,81S,13,81,4205,3.06,3.242,do,0.116,0,0,0.516974512978753,0.539877439261101,1.08284185643345,1.08284185643345,1.08284185643344,0.75434977,1.96666204929351,2,1041,do,do,1,0,VB,2,5.115922092,295.1218893,0,0,0,0.823
4205,81S,14,81,4206,3.242,3.45,is,0.485,0.841,0,5.28061920652222,2.85790486733995,2.3362795066465,2.9415486903035,2.94154869030349,0.2415018,0.000154125737026333,2,1042,is,be,1,0,VBZ,2,3.659765484,281.4572358,0,0,0,
4206,81S,15,81,4207,3.45,3.64,sit,0.428,0.029,0,4.99137366513761,4.63174845849581,3.22161063538031,3.58717140368514,3.49302698363414,0.05130941,0.000247924588620662,2,1043,sit,sit,1,1,VB,3,8.633538213,421.7520981,0,0,1,0.478
4207,81S,16,81,4208,3.64,3.76,at,0.484,0,0,12.7879524031828,6.66072348288776,7.12943961363506,7.195575121732,7.23183903190348,5.8698397,0.00144210737198591,,,,,,,,,,,,,,
4208,81S,17,81,4209,3.76,4.07,home,0.758,0.361,1,3.63923355893224,3.75795412483676,3.86241605745664,3.7989277264166,3.79892772641659,4.1057796,0.483029067516326,2,1044,home,home,1,1,NN,4,7.466472083,297.1612402,0,0,0,0.578
4209,81S,18,81,4210,4.07,4.26,and,-0.017,0.078,0,5.14708334255999,2.78389013719636,2.91765876828263,2.91765876828263,2.91765876828263,0.50473046,0.00103563070297241,,,,,,,,,,,,,,
4210,81S,19,81,4211,4.26,4.568,watch,0.828,0.443,1,3.25066150960189,2.40389945413825,1.42895586478914,2.15373257584196,2.15373257584196,1.007293,0.0961432382464408,2,1045,watch,watch,1,1,VB,5,7.584377298,383.1810002,0,0,1,0.302
4211,81S,20,81,4212,4.568,5.207,Tv,0.594,0.755,1,9.59369794364688,6.63737210933077,7.89821946724417,7.77512189124538,7.7144673901447,1.6595314,0.0159266479313373,2,1046,TV,tv,,1,NN,2,9.525772063,295.656834,0,0,0,0.727
