,passage_id,delay,onset,is_gesture,word,bin_id,pos_prev,lemma,word_length,surprisal_prev,word_seq,word_mapped,is_seg,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_bert,surprisal_gpt2
128,02-N,0.041,29.2,FALSE,d,270,0,would,2,6.336,88,d,False,4.334206470974285,3.448719432185692,2.7607660409727437,2.7607660409727437,2.7607660409727437,8.437549591064453,3.773467
129,02-N,0.041,29.27,FALSE,never,271,1,never,5,7.673,89,never,False,6.392952355633044,3.3735043593140017,3.742688114965763,3.67919978392572,3.67919978392572,0.6154042482376099,4.3648305
130,02-N,0.041,29.554,FALSE,sustain,272,1,sustain,7,10.609,90,sustain,False,14.12012586626338,13.736717788518602,13.84038589740885,13.75324425432544,13.75324425432544,0.4413733184337616,9.141287
131,02-N,0.041,30.159,FALSE,the,273,0,the,3,2.916,91,the,False,1.63520496677393,2.837369481902681,2.837369481902681,2.837369481902681,2.837369481902681,27.960872650146484,3.6644576
132,02-N,0.041,30.232,FALSE,fiction,274,1,fiction,7,10.273,92,fiction,False,10.938345309068144,10.536042469825237,10.410733606148058,10.410733606148058,10.410733606148058,10.208894729614258,2.126007
133,02-N,0.041,30.62,FALSE,of,275,0,of,2,3.607,93,of,False,4.391425186589566,1.83073456626866,1.8803861544363765,1.8803861544363765,1.8803861544363765,1.7893846035003662,2.5980825
134,02-N,0.041,30.764,FALSE,being,276,0,be,5,3.497,94,being,False,6.644619730961841,5.548238815554679,4.440349103005125,4.650991821700938,4.650991821700938,9.599367141723633,0.054560427
135,02-N,0.041,31.03,FALSE,single,277,1,single,6,8.55,95,single,False,8.767409238986035,8.729743785258714,8.731544436595627,8.780444746911343,8.719790245810673,0.6074938178062439,3.7948494
136,02-N,0.041,31.489,FALSE,over,278,0,over,4,6.713,96,over,False,8.363401819742785,7.745972749770961,7.8648651461231855,7.801376815083143,7.801376815083143,9.221455574035645,2.9898653
137,02-N,0.041,31.709,FALSE,time,279,1,time,4,6.213,97,time,False,4.395760748764344,4.604232529743138,4.540792234371382,4.540792234371382,4.540792234371382,0.0155686233192682,12.961416
138,02-N,0.041,32.62,FALSE,so,280,1,so,2,5.857,98,so,False,6.791071425412962,6.902749138878079,6.847004706544896,6.847004706544896,6.847004706544896,3.8341798782348633,13.813625
139,02-N,0.041,32.815,FALSE,more,281,1,more,4,5.926,99,more,False,7.353845237518809,7.527002567620991,7.478507952835147,7.478507952835147,7.478507952835147,6.06342887878418,1.5095289
140,02-N,0.041,33.06,FALSE,likely,282,1,likely,6,8.307,100,likely,False,4.451765946153941,6.252974771308819,6.131635026279778,6.131635026279778,6.131635026279778,3.2977797985076904,3.1451583
141,02-N,0.041,33.605,FALSE,a,283,0,a,1,3.755,101,a,False,3.99093562520209,4.504374884550911,4.038655356036088,4.038655356036088,4.038655356036088,1.0530023574829102,6.1388216
142,02-N,0.041,33.68,FALSE,string,284,1,string,6,9.481,102,string,False,7.876690704186736,8.269862923601739,8.387659557737964,8.307183618475529,8.307183618475529,6.401910781860352,6.862092
143,02-N,0.041,34.025,FALSE,of,285,0,of,2,3.604,103,of,False,1.292852014000308,0.3745518102051673,0.7063478269146863,0.7063478269146863,0.7063478269146863,2.3491170406341557,3.5439982
144,02-N,0.041,34.203,FALSE,them,286,0,-PRON-,4,inf,104,them,False,5.772725688340211,7.466294266571841,7.630965478269753,7.505231155816324,7.505231155816324,4.295692920684815,1.904843
145,03-N,0.027,0.4,FALSE,why,326,0,why,3,7.47,1,why,False,9.772773817061028,9.77243015616563,9.77243015616563,9.77243015616563,9.77243015616563,0.4177009165287018,7.045704
146,03-N,0.027,0.622,FALSE,do,327,0,do,2,5.221,2,do,False,3.028259384819996,3.71119538185803,3.680267273719814,3.680267273719814,3.680267273719814,0.2784105837345123,2.4483335
147,03-N,0.027,0.724,FALSE,they,328,0,-PRON-,4,inf,3,they,False,5.730346151372013,3.5852565647024672,3.159911976095861,3.0964236450558182,3.0964236450558182,0.3584837913513183,3.3948965
148,03-N,0.027,0.868,FALSE,make,329,1,make,4,5.698,4,make,False,6.372283842772237,5.519815424405691,5.722925601335105,5.659436721315997,5.659436721315997,0.0032719431910663,4.07023
149,03-N,0.027,1.06,FALSE,that,330,0,that,4,4.275,5,that,False,5.649186733172245,6.524439978699537,6.39218652983579,6.328698198795747,6.328698198795747,0.8597913980484009,3.8676057
150,03-N,0.027,1.28,FALSE,noise,331,1,noise,5,8.768,6,noise,False,10.725107566326727,10.349161212048818,10.16822978939114,10.16822978939114,10.16822978939114,0.4516426920890808,4.5324926
151,03-N,0.027,2.13,FALSE,it,332,0,-PRON-,2,inf,7,it,False,4.196376767246301,4.3093336019355055,4.245893306563749,4.245893306563749,4.245893306563749,0.0199920404702425,3.266098
152,03-N,0.027,2.28,FALSE,s,333,0,be,2,3.648,,s,False,0.4376861183699382,0.0071299331715489,0.0126442016514258,0.0148563589040687,0.0148563589040687,3.3014228343963623,8.371061
153,03-N,0.027,2.337,FALSE,only,334,1,only,4,6.648,8,only,False,6.459130684097135,6.086436481806991,7.225902921261395,6.58684956587463,6.526195064773961,4.246542930603027,7.3310585
154,03-N,0.027,2.543,FALSE,a,335,0,a,1,3.662,9,a,False,2.956194902808837,3.1073711111030917,3.0951620911618467,3.027488343721613,3.027488343721613,0.1203801184892654,6.147615
155,03-N,0.027,2.618,FALSE,tennis,336,1,tennis,6,11.817,10,tennis,False,9.904683605029376,10.996163784313175,10.551566499857318,10.600466261193969,10.5398117600933,2.2921745777130127,2.6291573
156,03-N,0.027,3.026,FALSE,ball,337,1,ball,4,6.474,11,ball,False,4.206234509847302,1.681229724741245,2.123015412909908,2.123015412909908,2.123015412909908,1.4480297565460205,10.038743
157,03-N,0.027,3.33,FALSE,it,338,0,-PRON-,2,inf,12,it,False,7.544031898252408,7.786134960291052,7.945689138113547,7.620865910390122,7.620865910390122,4.849690914154053,2.4383934
